,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bipolar Coaster,"(('I', 'PRP'), 40)","(('it', 'PRP'), 10)","(('my', 'PRP$'), 9)","(('had', 'VBD'), 7)","(('coaster', 'NN'), 7)","(('was', 'VBD'), 7)","(('me', 'PRP'), 5)","(('is', 'VBZ'), 5)","((""'d"", 'MD'), 5)","(('be', 'VB'), 4)","(('happy', 'JJ'), 4)","((""n't"", 'RB'), 4)","(('bipolar', 'JJ'), 4)","(('get', 'VB'), 3)","(('could', 'MD'), 3)","(('days', 'NNS'), 3)","(('have', 'VBP'), 3)","(('were', 'VBD'), 3)","(('detox', 'NN'), 2)","(('doing', 'VBG'), 2)"
Bipolar Patroller,"(('I', 'PRP'), 23)","(('was', 'VBD'), 8)","(('my', 'PRP$'), 8)","(('me', 'PRP'), 6)","(('it', 'PRP'), 5)","(('had', 'VBD'), 4)","(('they', 'PRP'), 4)","(('manic', 'JJ'), 4)","(('were', 'VBD'), 4)","(('not', 'RB'), 3)","(('am', 'VBP'), 3)","(('emotions', 'NNS'), 3)","(('forgive', 'VB'), 3)","(('gone', 'VBN'), 3)","(('friends', 'NNS'), 3)","(('fault', 'NN'), 2)","(('years', 'NNS'), 2)","(('who', 'WP'), 2)","(('just', 'RB'), 2)","(('moment', 'NN'), 2)"
Bitter Quitter,"(('I', 'PRP'), 30)","(('my', 'PRP$'), 11)","(('was', 'VBD'), 10)","(('would', 'MD'), 6)","(('is', 'VBZ'), 6)","(('gratification', 'NN'), 5)","(('get', 'VB'), 4)","(('me', 'PRP'), 4)","((""'s"", 'VBZ'), 4)","((""n't"", 'RB'), 4)","(('now', 'RB'), 3)","(('be', 'VB'), 3)","(('could', 'MD'), 3)","(('when', 'WRB'), 3)","(('turkey', 'NN'), 3)","(('life', 'NN'), 3)","(('have', 'VB'), 3)","(('it', 'PRP'), 3)","(('same', 'JJ'), 2)","(('had', 'VBD'), 2)"
Bitter Truth Taster,"(('I', 'PRP'), 126)","(('my', 'PRP$'), 62)","(('is', 'VBZ'), 33)","(('was', 'VBD'), 26)","(('me', 'PRP'), 23)","(('it', 'PRP'), 21)","(('myself', 'PRP'), 19)","(('had', 'VBD'), 17)","(('not', 'RB'), 13)","(('addiction', 'NN'), 12)","(('can', 'MD'), 12)","(('have', 'VBP'), 11)","(('life', 'NN'), 11)","(('am', 'VBP'), 10)","(('It', 'PRP'), 10)","(('that', 'WDT'), 9)","(('could', 'MD'), 8)","(('be', 'VB'), 8)","(('time', 'NN'), 8)","(('them', 'PRP'), 8)"
Bittersweet Greeter,"(('find', 'VB'), 2)","(('reason', 'NN'), 2)","(('sweetness', 'NN'), 2)","(('darkest', 'JJS'), 1)","(('that', 'WDT'), 1)","(('grab', 'NN'), 1)","(('wallet', 'NN'), 1)","(('basic', 'JJ'), 1)","(('their', 'PRP$'), 1)","(('bag', 'NN'), 1)","(('out', 'RP'), 1)","(('can', 'MD'), 1)","(('bitter', 'JJ'), 1)","(('even', 'RB'), 1)","(('break', 'VB'), 1)","((""'s"", 'VBZ'), 1)","(('hint', 'NN'), 1)","(('situations', 'NNS'), 1)","(('little', 'JJ'), 1)","(('experiences', 'NNS'), 1)"
Black Hole Blesser,"(('I', 'PRP'), 75)","(('was', 'VBD'), 23)","(('my', 'PRP$'), 23)","(('me', 'PRP'), 18)","((""'d"", 'MD'), 14)","(('myself', 'PRP'), 10)","(('were', 'VBD'), 8)","(('could', 'MD'), 7)","((""n't"", 'RB'), 7)","(('had', 'VBD'), 6)","(('only', 'RB'), 6)","(('layers', 'NNS'), 5)","(('much', 'JJ'), 5)","(('money', 'NN'), 5)","(('drugs', 'NNS'), 5)","(('been', 'VBN'), 4)","(('dope', 'NN'), 4)","(('are', 'VBP'), 4)","(('bucks', 'NNS'), 4)","((""'m"", 'VBP'), 4)"
Blame Changer,"(('I', 'PRP'), 19)","(('my', 'PRP$'), 7)","(('blame', 'VB'), 5)","(('life', 'NN'), 4)","((""'d"", 'MD'), 4)","(('it', 'PRP'), 4)","(('had', 'VBD'), 3)","(('nobody', 'NN'), 3)","(('was', 'VBD'), 3)","(('being', 'VBG'), 3)","(('entire', 'JJ'), 3)","(('other', 'JJ'), 2)","((""'m"", 'VBP'), 2)","(('game', 'NN'), 2)","((""'ve"", 'VBP'), 2)","(('myself', 'PRP'), 2)","(('were', 'VBD'), 2)","(('can', 'MD'), 2)","(('else', 'RB'), 2)","(('me', 'PRP'), 2)"
Blamenesia,"(('I', 'PRP'), 20)","(('my', 'PRP$'), 16)","(('was', 'VBD'), 10)","(('me', 'PRP'), 9)","(('blame', 'VB'), 6)","(('am', 'VBP'), 5)","(('actions', 'NNS'), 4)","(('not', 'RB'), 4)","(('accountable', 'JJ'), 4)","(('myself', 'PRP'), 4)","(('when', 'WRB'), 4)","(('problem', 'NN'), 3)","(('life', 'NN'), 3)","(('be', 'VB'), 3)","(('using', 'VBG'), 3)","(('blame', 'NN'), 3)","(('recovery', 'NN'), 3)","(('easier', 'JJR'), 3)","(('it', 'PRP'), 3)","(('something', 'NN'), 3)"
Blemish Cherisher,"(('I', 'PRP'), 15)","(('was', 'VBD'), 6)","(('had', 'VBD'), 5)","(('inventory', 'NN'), 5)","(('my', 'PRP$'), 4)","(('What', 'WP'), 3)","(('were', 'VBD'), 3)","(('when', 'WRB'), 2)","(('got', 'VBD'), 2)","(('they', 'PRP'), 2)","(('did', 'VBD'), 2)","(('myself', 'PRP'), 2)","(('me', 'PRP'), 2)","(('values', 'NNS'), 2)","(('nothing', 'NN'), 2)","(('My', 'PRP$'), 2)","(('inner', 'JJ'), 2)","(('never', 'RB'), 2)","(('part', 'NN'), 2)","(('much', 'JJ'), 1)"
Blessings Bather,"(('my', 'PRP$'), 7)","(('I', 'PRP'), 4)","(('today', 'NN'), 3)","(('recovery', 'NN'), 3)","(('is', 'VBZ'), 2)","(('past', 'JJ'), 2)","(('What＊s', 'NNP'), 1)","(('not', 'RB'), 1)","(('negative', 'JJ'), 1)","(('serenity', 'NN'), 1)","(('feel', 'VBP'), 1)","(('obsessed', 'VBN'), 1)","(('priceless', 'JJ'), 1)","(('moments', 'NNS'), 1)","(('soothing', 'VBG'), 1)","(('longer', 'RBR'), 1)","(('appreciate', 'VBP'), 1)","(('future', 'NN'), 1)","(('miracles', 'NNS'), 1)","(('such', 'JJ'), 1)"
