,1,2,3,4,5,6,7,8,9,10
CRAVINGS / will power & tools,"('MINDSET / identify weaknesses', 2)","('INNER POWER / Self control & willpower', 2)","('AGONY', 2)","('WARNINGS / self aware & listen', 1)","('WARNINGS / Relapse & tools', 1)","('WARNINGS / Avoid triggers', 1)","('URGES / tools & techniques', 1)","('TRIGGERS / confidence & strength', 1)","('SOBRIETY', 1)","('RESILIENCE / will power', 1)"
DAILY WORK,"('OPTIMISM', 2)","('THOUGHTS', 1)","('MINDSET / Future sobriety', 1)","('GROWTH / motivation & boosts', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)","('WORTHINESS / help', 0)","('WORTHINESS / deserve & rewards', 0)","('WORTHINESS / connections & sharing', 0)","('WARNINGS / self aware & listen', 0)"
DEAD END,"('TRUTH / dark past', 3)","('CHANGE / motivations', 2)","('VULNERABILITY / to support my sobriety', 1)","('TRUTH / Admit addiction', 1)","('TRIGGERS / tools & techniques', 1)","('SOBRIETY / costs & benefits', 1)","('RESPONSIBILITY', 1)","('RESILIENCE / reaction & behavior', 1)","('MINDSET / Future sobriety', 1)","('INNER POWER / Tools', 1)"
DELUSION,"('VULNERABILITY / Show true self', 2)","('TRUTH / self honesty', 2)","('CONFESSION / denial', 2)","('WARNINGS / self aware & listen', 1)","('URGES / tools & techniques', 1)","('TRUTH / Admit addiction', 1)","('SHAME', 1)","('MINDSET / tolerate discomfort', 1)","('GROWTH / true self', 1)","('FREEDOM / future & growth', 1)"
DEMONS,"('VULNERABILITY / Show true self', 2)","('THOUGHTS', 2)","('PAST', 2)","('CONFESSION / admit', 2)","('VULNERABILITY / others who’ve been there', 1)","('TRUTH / dark past', 1)","('TRIGGERS / awareness', 1)","('PROGRESS / reactions & behavior', 1)","('MINDSET / Clear headed', 1)","('INNER POWER / Fears & Strength', 1)"
DENIAL,"('SOBRIETY / costs & benefits', 1)","('SHAME', 1)","('GROWTH / learning & mistakes', 1)","('GROWTH / goals & future', 1)","('EXCUSES', 1)","('DELUSION', 1)","('BLAME', 1)","('ACCOUNTABILITY / damage confess', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)"
DESPAIR,"('MINDSET / Clear headed', 1)","('INNER / SELF / patterns', 1)","('FREEDOM', 1)","('CHANGE / self love & true self', 1)","('CHANGE / beliefs', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)","('WORTHINESS / help', 0)","('WORTHINESS / deserve & rewards', 0)","('WORTHINESS / connections & sharing', 0)"
EGO,"('WORTHINESS / connections & sharing', 2)","('VULNERABILITY / to support my sobriety', 2)","('PRIDE ', 2)","('COMMUNITY / healthy relationships', 2)","('PROGRESS / reactions & behavior', 1)","('JUDGMENTS', 1)","('INFLUENCES', 1)","('GROWTH / behavior & habits', 1)","('GRATITUDE / for others', 1)","('GIVING / GENEROSITY', 1)"
EMOTIONS,"('TRUTH / self honesty', 2)","('MINDSET / tolerate discomfort', 2)","('MINDSET / no matter what', 2)","('INNER POWER / Tools', 2)","('FREEDOM / peace & harmony', 2)","('ANXIETY', 2)","('ANGER', 2)","('WORTHINESS / connections & sharing', 1)","('VULNERABILITY / learning and mistakes', 1)","('VULNERABILITY / Show true self', 1)"
EXCUSES,"('INNER MASTERY / beliefs & awareness', 4)","('CONFESSION / denial', 2)","('ACCOUNTABILITY / Own up', 2)","('WARNINGS / self aware & listen', 1)","('TRUTH / dark past', 1)","('TRUTH / Admit addiction', 1)","('SABOTAGE', 1)","('RESPONSIBILITY', 1)","('OVERWHELM', 1)","('MOODS', 1)"
