,1,2,3,4,5,6,7,8,9,10
CONFIDENCE / action & behavior,"('The Dynamotivator', 2)","('COMMITMENT knitter / laziness & effort', 2)","('WAIT AND SWITCH / Progress', 1)","('VULNERABILITY / support from others', 1)","('Urge Purger', 1)","(""Triggers 101'r"", 1)","('The Procrastina-shunner', 1)","('The Deshamer', 1)","('Soul Practitioner', 1)","('Soul Controller', 1)"
CONFLICT,"('Conflict Connoisseur', 4)","('Placid Reflux', 3)","('Situation Unscrewer', 2)","('Reactions Auditor', 2)","('Quarrel Quasher', 2)","('Qualm Quitter', 2)","('Void Avoider', 1)","('Venom Vaporizer', 1)","('VULNERABILITY / share emotions', 1)","('VULNERABILITY / mistakes & learning', 1)"
CONTROL,"('Controller Coaster', 4)","('Compulsion KO’r', 2)","('WAIT AND SWITCH / Emotions', 1)","('VULNERABILITY / reach out for help', 1)","('Urge X’r', 1)","('Troubles TBH’r', 1)","('The Control-aholic', 1)","('Soul Controller', 1)","('Should Shover', 1)","('Serenity Simulator', 1)"
COURAGE,"('Fear Flusher', 2)","('VULNERABILITY / reach out for help', 1)","('The Benefisher', 1)","('THOUGHTS / positivity', 1)","('Sobriety SOS’r', 1)","('Self awareness / habits & behavior', 1)","('Scary Stepper', 1)","('Rationalization Rinser', 1)","('Pride Puffer', 1)","('I-examiner - reactions & behavior', 1)"
CRAVINGS / support & help,"('Craver Saver / Braver', 2)","('VULNERABILITY / reach out for help', 1)","('Trigger SOS’r', 1)","('The Benefisher', 1)","('Sobriety SOS’r', 1)","('SELF HARM ALARMER / avoid triggers', 1)","('SELF HARM / Warnings', 1)","('RELATIONSHIPS / Meetings & support', 1)","('Gratitude Guru', 1)","('Grace Moonlighter', 1)"
CRAVINGS / vulnerability & learning,"('Craver Saver / Braver', 3)","('Self awareness / confidence to admit', 2)","('Worthiness Whisperer', 1)","('Torment Terminator', 1)","(""Self Control 101'r"", 1)","('SELF HARM ALARMER / remove from situations', 1)","('SELF HARM ALARMER / avoid triggers', 1)","('Reactions Auditor', 1)","('NEW PATTERN PAINTER / share & learn', 1)","('Lost Benefit Lamenter', 1)"
CRAVINGS / will power & tools,"('Craver Saver / Braver', 4)","('Compulsion KO’r', 3)","('Torment Terminator', 2)","('SELF HARM / Tools', 2)","(""Cravings 101'r"", 2)","('Craverade', 2)","('Void Avoider', 1)","('Trigger Trespasser', 1)","('The De-craverizer', 1)","('Temperance Tester', 1)"
DAILY WORK,"('WAIT AND SWITCH / Progress', 1)","('The Dynamotivator', 1)","('THOUGHTS / positivity', 1)","('Opportunity Oompher', 1)","('Negativity Negotiator', 1)","('Journey Jazzer', 1)","('Confidence Colonizer', 1)","('Abstainer Amazer', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)"
DEAD END,"('Dead End Defier ', 6)","('Dead End Deluder', 4)","('Lost Benefit Lamenter', 3)","('Addiction AMF’r', 3)","('Torment Terminator', 2)","('Just One Justifier', 2)","('Grave Trigger', 2)","('Black Hole Blesser', 2)","('Bitter Truth Taster', 2)","('VULNERABILITY / support from others', 1)"
DELUSION,"('Delusion Detector', 7)","('VULNERABILITY / listen to others', 2)","('Inner Light Illuminator', 2)","('Worthiness Whisperer', 1)","('VULNERABILITY / admit', 1)","('Urge Purger', 1)","('Torment Terminator', 1)","('The Deshamer', 1)","('Temperance Tester', 1)","('Self awareness / confidence to admit', 1)"
