,1,2,3,4,5,6,7,8,9,10
CONFIDENCE /  obstacles & challenge,"('INNER MASTERY / challenge & resilience', 3)","('TRUTH / dark past', 2)","('SOBRIETY / costs & benefits', 2)","('RESPONSIBILITY', 2)","('RESILIENCE / reaction & behavior', 2)","('INNER MASTERY / beliefs & awareness', 2)","('INNER / SELF / Inventory', 2)","('HARDSHIP', 2)","('CONFLICT', 2)","('ACCOUNTABILITY / damage confess', 2)"
CONFIDENCE / acceptance & worth,"('VULNERABILITY / Show true self', 3)","('INNER POWER / Decisions', 2)","('WORTHINESS / self love & acceptance', 1)","('WORTHINESS / new life & future', 1)","('WORTHINESS / deserve & rewards', 1)","('TRUTH / Costs', 1)","('SHAME', 1)","('MINDSET / imperfection & acceptance', 1)","('MINDSET / deal with frustration', 1)","('LAPSE', 1)"
CONFIDENCE / action & behavior,"('INNER MASTERY / tools & processes', 3)","('RESILIENCE / reaction & behavior', 2)","('INNER / SELF / patterns', 2)","('WORTHINESS / self love & acceptance', 1)","('WORRY', 1)","('VULNERABILITY / to support my sobriety', 1)","('URGES / tools & techniques', 1)","('URGES / moods & emotions', 1)","('TRIGGERS / tools & techniques', 1)","('TRIGGERS / awareness', 1)"
CONFLICT,"('RECONCILIATON', 4)","('ANGER', 4)","('TRIGGERS / tools & techniques', 3)","('RESILIENCE / reaction & behavior', 3)","('WORTHINESS / connections & sharing', 2)","('SOBRIETY / behavior & action', 2)","('NEGATIVITY', 2)","('CONFIDENCE /  obstacles & challenge', 2)","('ACCOUNTABILITY / Own up', 2)","('WARNINGS / Relapse & tools', 1)"
CONTROL,"('VULNERABILITY / to support my sobriety', 3)","('HIGHER POWER / surrender', 2)","('EGO', 2)","('CONFESSION / admit', 2)","('URGES / tools & techniques', 1)","('TRUST', 1)","('THOUGHTS', 1)","('SOBRIETY / celebrate & progress', 1)","('SOBRIETY / behavior & action', 1)","('SITUATIONS', 1)"
COURAGE,"('CONFESSION / powerlessness', 2)","('WORTHINESS / help', 1)","('TRUTH / dark past', 1)","('THOUGHTS', 1)","('RECONCILIATON', 1)","('MINDSET / obstacles & challenge', 1)","('MINDSET / Future sobriety', 1)","('INNER POWER / Self control & willpower', 1)","('INNER POWER / Fears & Strength', 1)","('INNER / SELF / beliefs & insight', 1)"
CRAVINGS / support & help,"('WARNINGS / Relapse & tools', 1)","('WARNINGS / Avoid triggers', 1)","('VULNERABILITY / to support my sobriety', 1)","('MOTIVATION', 1)","('MINDSET / identify weaknesses', 1)","('INNER / SELF / patterns', 1)","('INNER / SELF / awareness', 1)","('HIGHER POWER / surrender', 1)","('GRATITUDE / for others', 1)","('FAITH', 1)"
CRAVINGS / vulnerability & learning,"('WARNINGS / self aware & listen', 2)","('WARNINGS / Relapse & tools', 1)","('VALUES', 1)","('URGES / tools & techniques', 1)","('URGES / moods & emotions', 1)","('TRIGGERS / awareness', 1)","('RESILIENCE / reaction & behavior', 1)","('REACTIONS', 1)","('POWERLESSNESS', 1)","('MINDSET / will power', 1)"
CRAVINGS / will power & tools,"('INNER POWER / Self control & willpower', 4)","('URGES / tools & techniques', 2)","('MINDSET / identify weaknesses', 2)","('AGONY', 2)","('WARNINGS / self aware & listen', 1)","('WARNINGS / Relapse & tools', 1)","('WARNINGS / Avoid triggers', 1)","('TRIGGERS / confidence & strength', 1)","('SOBRIETY / maintaining & will power', 1)","('SOBRIETY', 1)"
DAILY WORK,"('OPTIMISM', 2)","('THOUGHTS', 1)","('MINDSET / Future sobriety', 1)","('GROWTH / motivation & boosts', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)","('WORTHINESS / help', 0)","('WORTHINESS / deserve & rewards', 0)","('WORTHINESS / connections & sharing', 0)","('WORRY', 0)"
DEAD END,"('TRUTH / dark past', 3)","('CHANGE / motivations', 2)","('VULNERABILITY / to support my sobriety', 1)","('TRUTH / Admit addiction', 1)","('TRIGGERS / tools & techniques', 1)","('SOBRIETY / costs & benefits', 1)","('RESPONSIBILITY', 1)","('RESILIENCE / reaction & behavior', 1)","('MINDSET / Future sobriety', 1)","('INNER POWER / Tools', 1)"
DELUSION,"('CONFESSION / denial', 3)","('VULNERABILITY / Show true self', 2)","('TRUTH / self honesty', 2)","('CHANGE / mental confidence', 2)","('WARNINGS / self aware & listen', 1)","('URGES / tools & techniques', 1)","('TRUTH / Inventory', 1)","('TRUTH / Admit addiction', 1)","('SHAME', 1)","('MINDSET / tolerate discomfort', 1)"
DEMONS,"('VULNERABILITY / others who’ve been there', 2)","('VULNERABILITY / Show true self', 2)","('TRUTH / dark past', 2)","('THOUGHTS', 2)","('PAST', 2)","('CONFESSION / admit', 2)","('WORTHINESS / deserve & rewards', 1)","('WARNINGS / Avoid triggers', 1)","('URGES / moods & emotions', 1)","('TRIGGERS / awareness', 1)"
DENIAL,"('TRUTH / Costs', 1)","('SOBRIETY / costs & benefits', 1)","('SHAME', 1)","('GROWTH / learning & mistakes', 1)","('GROWTH / goals & future', 1)","('EXCUSES', 1)","('DELUSION', 1)","('CONFESSION / damage & hurt', 1)","('BLAME', 1)","('ACCOUNTABILITY / damage confess', 1)"
DESPAIR,"('TRUTH / dark past', 1)","('MINDSET / Clear headed', 1)","('INNER / SELF / patterns', 1)","('FREEDOM', 1)","('CONFESSION / powerlessness', 1)","('COMMUNITY / Meetings & groups', 1)","('CHANGE / self love & true self', 1)","('CHANGE / beliefs', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)"
EGO,"('PRIDE ', 3)","('WORTHINESS / connections & sharing', 2)","('VULNERABILITY / to support my sobriety', 2)","('JUDGMENTS', 2)","('GIVING / GENEROSITY', 2)","('CONTROL', 2)","('COMMUNITY / sharing', 2)","('COMMUNITY / healthy relationships', 2)","('PROGRESS / reactions & behavior', 1)","('MINDSET / imperfection & acceptance', 1)"
EMOTIONS,"('MINDSET / tolerate discomfort', 4)","('ANGER', 3)","('TRUTH / self honesty', 2)","('TRIGGERS / awareness', 2)","('PROGRESS / reactions & behavior', 2)","('NEGATIVITY', 2)","('MOODS', 2)","('MINDSET / no matter what', 2)","('MINDSET / identify weaknesses', 2)","('INNER POWER / Vulnerability', 2)"
