,1,2,3,4,5,6,7,8,9,10
CONFIDENCE / action & behavior,"('Placid Reflux', 3)","('I-Can-ographer', 3)","('Confidence Colonizer', 3)","('Compulsion KO’r', 3)","('Behavior Savior', 3)","('WAIT AND SWITCH / Progress', 2)","('Urge Purger', 2)","('The Dynamotivator', 2)","('Soul Controller', 2)","('Self awareness / habits & behavior', 2)"
CONFLICT,"('Conflict Connoisseur', 7)","('Quarrel Quasher', 6)","('Placid Reflux', 4)","('Situation Unscrewer', 3)","('Reactions Auditor', 3)","('Qualm Quitter', 3)","('Venom Vaporizer', 2)","('The Aggrava-shunner', 2)","('SELF HARM / Self honesty & admit', 2)","('Problem Soul-ver', 2)"
CONTROL,"('The Control-aholic', 4)","('Controller Coaster', 4)","('VULNERABILITY / reach out for help', 3)","('Higher Power Invoker', 3)","('Control Unfreaker', 3)","('Should Shover', 2)","('RELATIONSHIPS / Healthy & supportive', 2)","('Powerholic Healer', 2)","('Power Shower', 2)","('Compulsion KO’r', 2)"
COURAGE,"('Fear Flusher', 3)","('Courage Commander', 2)","('Braverade', 2)","('Bitter Truth Taster', 2)","('Bitter Quitter', 2)","('VULNERABILITY / reach out for help', 1)","('The Benefisher', 1)","('THOUGHTS / positivity', 1)","('Sobriety SOS’r', 1)","('Self awareness / habits & behavior', 1)"
CRAVINGS / support & help,"('Craver Saver / Braver', 3)","('Sobriety SOS’r', 2)","(""Cravings 101'r"", 2)","('VULNERABILITY / share challenges', 1)","('VULNERABILITY / reach out for help', 1)","('Trigger SOS’r', 1)","('The Benefisher', 1)","('Self Awareness Awakener', 1)","('SELF HARM ALARMER / avoid triggers', 1)","('SELF HARM / Warnings', 1)"
CRAVINGS / vulnerability & learning,"('Craver Saver / Braver', 6)","('Self awareness / confidence to admit', 3)","('Compulsion KO’r', 3)","('Progress Pollinator', 2)","('Little Hint Listener', 2)","('I-examiner - reactions & behavior', 2)","('Worthiness Whisperer', 1)","('Values VIP’r', 1)","('VULNERABILITY / mistakes & learning', 1)","('VULNERABILITY / Radical self honesty', 1)"
CRAVINGS / will power & tools,"('SELF HARM / Tools', 5)","('Craver Saver / Braver', 5)","(""Cravings 101'r"", 4)","('Craverade', 3)","('Compulsion KO’r', 3)","('Torment Terminator', 2)","('The De-craverizer', 2)","('Self awareness / habits & behavior', 2)","('Pattern Interrupter', 2)","('Inner Trash Trasher', 2)"
DAILY WORK,"('WAIT AND SWITCH / Progress', 1)","('The Dynamotivator', 1)","('THOUGHTS / positivity', 1)","('Opportunity Oompher', 1)","('Negativity Negotiator', 1)","('Journey Jazzer', 1)","('Confidence Colonizer', 1)","('Abstainer Amazer', 1)","('frust', 0)","('Wrong Righter', 0)"
DEAD END,"('Dead End Defier ', 6)","('Dead End Deluder', 4)","('Lost Benefit Lamenter', 3)","('Addiction AMF’r', 3)","('Torment Terminator', 2)","('Just One Justifier', 2)","('Grave Trigger', 2)","('Black Hole Blesser', 2)","('Bitter Truth Taster', 2)","('VULNERABILITY / support from others', 1)"
DELUSION,"('Delusion Detector', 9)","('VULNERABILITY / listen to others', 2)","('Sabotage SOS’r', 2)","('SELF HARM / Self honesty & admit', 2)","('Inner Light Illuminator', 2)","('Ego Eclipser', 2)","('Worthiness Whisperer', 1)","('VULNERABILITY / support from others', 1)","('VULNERABILITY / admit', 1)","('Urge Purger', 1)"
