,1,2,3,4,5,6,7,8,9,10
Cold Turkey Taster,"('Killer Kickstarter', 2)","('WAIT AND SWITCH / Small steps', 1)","('Torment Terminator', 1)","('The Procrastina-shunner', 1)","('Temperance Tester', 1)","('Sobriety Soulmater', 1)","('Sober Selfie', 1)","('SELF HARM / Tools', 1)","('Inner Winner', 1)","('Excrement Expector', 1)"
Compassion Moonlighter,"('VULNERABILITY / share emotions', 1)","('Feelings Fantasizer', 1)","('Emotions Engineer', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Compassion Weaver,"('The Empathologist', 2)","('VULNERABILITY / support from others', 1)","('RELATIONSHIPS / Build connections & community', 1)","('NEW PATTERN PAINTER / share & learn', 1)","('Metta Motivator', 1)","('Love Kickstarter', 1)","('Kindness Knitter', 1)","('Inner Sun Shiner', 1)","('Ego Eclipser', 1)","('Wrong Righter', 0)"
Compulsion KO’r,"('Self awareness / habits & behavior', 3)","('Urge X’r', 2)","('Urge Auditor', 2)","('Temperance Tester', 2)","('Reactions Auditor', 2)","('NEW PATTERN PAINTER / support groups', 2)","('Mighty Motor Cranker', 2)","('Craverade', 2)","('VULNERABILITY / connections', 1)","('Urge Purger', 1)"
Confidence Caffeinator,"('Inner Power Allower', 2)","('Values VIP’r', 1)","('VULNERABILITY / listen to others', 1)","('The Empathologist', 1)","('The De-craverizer', 1)","('THOUGHTS / positivity', 1)","('Stigma Striker', 1)","('Sober Selfie', 1)","('Self Worth Surfer', 1)","('Self Esteem Elixir', 1)"
Confidence Colonizer,"('I-Can-ographer', 2)","('Worthy Soul’r', 1)","('WAIT AND SWITCH / Small steps', 1)","('The Momentumizer ', 1)","('The Dynamotivator', 1)","('THOUGHTS / positivity', 1)","('Symbolic Stepper', 1)","('Sobriety Soulmater', 1)","(""Sobriety 101'r"", 1)","('Shamenesia', 1)"
Conflict Connoisseur,"('Reactions Auditor', 2)","('Placid Reflux', 2)","('Void Avoider', 1)","('VULNERABILITY / share emotions', 1)","('Situation Unscrewer', 1)","(""Self Control 101'r"", 1)","('RAW SOUL REVEALER / emotions & urges', 1)","('Quarrel Quasher', 1)","('Problem Soul-ver', 1)","('I-examiner - reactions & behavior', 1)"
Controller Coaster,"('WAIT AND SWITCH / Emotions', 1)","('Torment Terminator', 1)","('Soul Controller', 1)","('Should Shover', 1)","('Serenity Simulator', 1)","('Self Esteem Engineer', 1)","('SELF HARM ALARMER / remove from situations', 1)","('Powerholic Healer', 1)","('Moody MF’r', 1)","('Mistruster Duster', 1)"
Cosmic Ray Receiver,"('Miracle Embracer', 2)","('Faith Flooder', 2)","('Thy Will Be Doner', 1)","('The Benefisher', 1)","('Serenity Soulmater', 1)","('NEW LIFE / POSSIBILITIES', 1)","('Infinity Infuser', 1)","('Higher Power Invoker', 1)","('Grace Moonlighter', 1)","('Divine Designer', 1)"
Courage Commander,"('Fear Flusher', 2)","('Scary Stepper', 1)","('SELF HARM ALARMER / avoid triggers', 1)","('Relationship Redeemer', 1)","('Obstacle Oblivionizer', 1)","('NEW PATTERN PAINTER / share & learn', 1)","('Inner Power Allower', 1)","('I-Can-ographer', 1)","('Hurtle Hugger', 1)","('Hardship Hugger', 1)"
