,1,2,3,4,5,6,7,8,9,10
CLOSET CONFESSOR / Face truths,"('Bitter Truth Taster', 6)","('Relationship Dedamager', 4)","('ADMIT / accountability', 4)","('VULNERABILITY / listen to others', 3)","('VULNERABILITY / Radical self honesty', 3)","('VULNERABILITY / share challenges', 2)","('Self awareness / confidence to admit', 2)","('RAW SOUL REVEALER / emotions & urges', 2)","('NEW PATTERN PAINTER / motivations', 2)","('Inner Soul X-Rayer', 2)"
CLOSET CONFESSOR / Inventory,"('Bitter Truth Taster', 6)","('ADMIT / accountability', 6)","('VULNERABILITY / admit', 4)","('VULNERABILITY / mistakes & learning', 3)","('I-Examiner', 3)","('ADMIT / honesty', 3)","('VULNERABILITY / Radical self honesty', 2)","('Self awareness / confidence to admit', 2)","('Self Awareness Awakener', 2)","('Responsibility 101’r', 2)"
CLOSET CONFESSOR / Share & support,"('VULNERABILITY / support from others', 4)","('VULNERABILITY / share relapse ', 3)","('RAW SOUL REVEALER / past mistakes', 3)","('VULNERABILITY / listen to others', 2)","('Sobriety SOS’r', 2)","('SELF HARM / Self honesty & admit', 2)","('Relationship Redeemer', 2)","('RELATIONSHIPS / Meetings & support', 2)","('RAW SOUL REVEALER / trust others', 2)","('Qualm Quitter', 2)"
COMMITMENT knitter / above all else,"('Addiction AMF’r', 4)","('Killer Kickstarter', 3)","('Cold Turkey Taster', 3)","('Values VIP’r', 2)","('Temperance Tester', 2)","('Sobriety Soulmater', 2)","('Distraction Assassin', 2)","('Abstainer Amazer', 2)","('Trigger X’r', 1)","('Self awareness / habits & behavior', 1)"
COMMITMENT knitter / abstinence confidence,"('The Dynamotivator', 2)","('Braverade', 2)","('WAIT AND SWITCH / Progress', 1)","('VULNERABILITY / support from others', 1)","('VULNERABILITY / share challenges', 1)","('The Procrastina-shunner', 1)","('Sobriety Soulmater', 1)","('Situation Detacher', 1)","('Self Esteem Engineer', 1)","('SELF HARM ALARMER / avoid triggers', 1)"
COMMITMENT knitter / celebrate,"('Progress Painter', 2)","('Inner Freedom Forager', 2)","('WAIT AND SWITCH / Small steps', 1)","('Trigger Transformer', 1)","('The Successcalator', 1)","('The Dynamotivator', 1)","('Symbolic Stepper', 1)","('Sober Selfie', 1)","('Sober Milestoner', 1)","('Shamenesia', 1)"
COMMITMENT knitter / laziness & effort,"('The Procrastina-shunner', 4)","('Lazy Zapper', 4)","('WAIT AND SWITCH / Small steps', 2)","('Symbolic Stepper', 2)","('SELF HARM / Self honesty & admit', 2)","('New Pattern Painter / grit & progress', 2)","('I-Can-ographer', 2)","('Void Avoider', 1)","('Values VIP’r', 1)","(""Triggers 101'r"", 1)"
COMMITMENT knitter / to others,"('WAIT AND SWITCH / Progress', 1)","('Values VIP’r', 1)","('The Procrastina-shunner', 1)","('Soul Proprietor', 1)","(""Sobriety 101'r"", 1)","('Responsibility Rebooter', 1)","('Lazy Zapper', 1)","('Killer Kickstarter', 1)","('frust', 0)","('Wrong Righter', 0)"
Can’t Cutter,"('Old Belief Butcher', 1)","('Missi-Un-Impossiblizer ', 1)","('Inner Winner', 1)","('Inner Power Allower', 1)","('I-examiner - motivations', 1)","('CLOSET CONFESSOR / Admit addiction', 1)","('Baby Step Embracer', 1)","('ADMIT / healing', 1)","('frust', 0)","('Wrong Righter', 0)"
Challenge Ninja,"('Adversity Avenger', 4)","('Problem Primer', 3)","('Temperance Tester', 2)","('Inner Motor Motivator', 2)","('Crisis Cracker', 2)","('Victim Vanquisher', 1)","('Trigger X’r', 1)","('Trigger Auditor', 1)","('The Blocksmither', 1)","('Sobriety SOB’r', 1)"
